original,second_part,noun_forms,lemma,genus,compound_forms
klimaextremismus,extremismus,"['extremismen', 'extremismus']",extremismus,m,"['klimaextremismen', 'klimaextremismus']"
klimafachkraft,fachkraft,"['fachkraft', 'fachkräfte', 'fachkräften']",fachkraft,f,"['klimafachkraft', 'klimafachkräfte', 'klimafachkräften']"
klimafanatiker,fanatiker,"['fanatiker', 'fanatikern', 'fanatikers']",fanatiker,m,"['klimafanatiker', 'klimafanatikern', 'klimafanatikers']"
klimafeind,feind,"['feindes', 'feinds', 'feinde', 'feind', 'feinden']",feind,m,"['klimafeindes', 'klimafeinds', 'klimafeinde', 'klimafeind', 'klimafeinden']"
klimafestung,festung,"['festung', 'festungen']",festung,f,"['klimafestung', 'klimafestungen']"
klimafieber,fieber,"['fiebern', 'fieber', 'fiebers']",fieber,n,"['klimafiebern', 'klimafieber', 'klimafiebers']"
klimafluch,fluch,"['flüchen', 'flüche', 'fluch', 'fluchs', 'fluches']",fluch,m,"['klimaflüchen', 'klimaflüche', 'klimafluch', 'klimafluchs', 'klimafluches']"
klimaflüsterer,flüsterer,"['flüsterern', 'flüsterer', 'flüsterers']",flüsterer,m,"['klimaflüsterern', 'klimaflüsterer', 'klimaflüsterers']"
klimafreund,freund,"['freundes', 'freund', 'freunds', 'freunden', 'freunde']",freund,m,"['klimafreundes', 'klimafreund', 'klimafreunds', 'klimafreunden', 'klimafreunde']"
klimafreundin,freundin,"['freundin', 'freundinnen']",freundin,f,"['klimafreundin', 'klimafreundinnen']"
klimafreundlichkeit,freundlichkeit,"['freundlichkeiten', 'freundlichkeit']",freundlichkeit,f,"['klimafreundlichkeiten', 'klimafreundlichkeit']"
klimafront,front,"['fronten', 'front']",front,f,"['klimafronten', 'klimafront']"
klimaführerin,führerin,"['führerin', 'führerinnen']",führerin,f,"['klimaführerin', 'klimaführerinnen']"
klimagangster,gangster,"['gangstern', 'gangsters', 'gangster']",gangster,m,"['klimagangstern', 'klimagangsters', 'klimagangster']"
klimagarde,garde,"['garde', 'garden']",garde,f,"['klimagarde', 'klimagarden']"
klimagau,gau,"['gau', 'gaus', 'gauen', 'gaues', 'gaue']",gau,m,"['klimagau', 'klimagaus', 'klimagauen', 'klimagaues', 'klimagaue']"
klimagefahr,gefahr,"['gefahren', 'gefahr']",gefahr,f,"['klimagefahren', 'klimagefahr']"
klimagefasel,gefasel,"['gefasels', 'gefasel']",gefasel,n,"['klimagefasels', 'klimagefasel']"
klimagerechtigkeit,gerechtigkeit,"['gerechtigkeiten', 'gerechtigkeit']",gerechtigkeit,f,"['klimagerechtigkeiten', 'klimagerechtigkeit']"
klimageschrei,geschrei,"['geschreis', 'geschrei']",geschrei,n,"['klimageschreis', 'klimageschrei']"
klimageschäft,geschäft,"['geschäften', 'geschäft', 'geschäftes', 'geschäfte', 'geschäfts']",geschäft,n,"['klimageschäften', 'klimageschäft', 'klimageschäftes', 'klimageschäfte', 'klimageschäfts']"
klimagesinnung,gesinnung,"['gesinnungen', 'gesinnung']",gesinnung,f,"['klimagesinnungen', 'klimagesinnung']"
klimaglaube,glaube,"['glaubens', 'glauben', 'glaube']",glaube,m,"['klimaglaubens', 'klimaglauben', 'klimaglaube']"
klimaglaubensbekenntnis,glaubensbekenntnis,"['glaubensbekenntnis', 'glaubensbekenntnisses', 'glaubensbekenntnisse', 'glaubensbekenntnissen']",glaubensbekenntnis,n,"['klimaglaubensbekenntnis', 'klimaglaubensbekenntnisses', 'klimaglaubensbekenntnisse', 'klimaglaubensbekenntnissen']"
klimaglaubenslehre,glaubenslehre,"['glaubenslehre', 'glaubenslehren']",glaubenslehre,f,"['klimaglaubenslehre', 'klimaglaubenslehren']"
klimagläubigkeit,gläubigkeit,['gläubigkeit'],gläubigkeit,f,['klimagläubigkeit']
klimagnom,gnom,"['gnoms', 'gnomen', 'gnome', 'gnom']",gnom,,"['klimagnoms', 'klimagnomen', 'klimagnome', 'klimagnom']"
klimagott,gott,"['gotts', 'gott', 'gotte', 'gottes', 'göttern', 'götter']",gott,m,"['klimagotts', 'klimagott', 'klimagotte', 'klimagottes', 'klimagöttern', 'klimagötter']"
klimagunst,gunst,['gunst'],gunst,f,['klimagunst']
klimagöttin,göttin,"['göttinnen', 'göttin']",göttin,f,"['klimagöttinnen', 'klimagöttin']"
klimahardliner,hardliner,"['hardliner', 'hardlinern', 'hardliners']",hardliner,m,"['klimahardliner', 'klimahardlinern', 'klimahardliners']"
klimaherausforderung,herausforderung,"['herausforderungen', 'herausforderung']",herausforderung,f,"['klimaherausforderungen', 'klimaherausforderung']"
klimahoax,hoax,"['hoaxes', 'hoax']",hoax,m,"['klimahoaxes', 'klimahoax']"
klimahokuspokus,hokuspokus,['hokuspokus'],hokuspokus,m,['klimahokuspokus']
klimahose,hose,"['hose', 'hosen']",hose,f,"['klimahose', 'klimahosen']"
klimahybris,hybris,['hybris'],hybris,f,['klimahybris']
klimahype,hype,"['hype', 'hypes']",hype,m,"['klimahype', 'klimahypes']"
klimahypothese,hypothese,"['hypothese', 'hypothesen']",hypothese,f,"['klimahypothese', 'klimahypothesen']"
klimahysterie,hysterie,"['hysterie', 'hysterien']",hysterie,f,"['klimahysterie', 'klimahysterien']"
klimahysteriker,hysteriker,"['hysteriker', 'hysterikers', 'hysterikern']",hysteriker,m,"['klimahysteriker', 'klimahysterikers', 'klimahysterikern']"
klimahölle,hölle,"['höllen', 'hölle']",hölle,f,"['klimahöllen', 'klimahölle']"
klimahüpfer,hüpfer,"['hüpfers', 'hüpfern', 'hüpfer']",hüpfer,m,"['klimahüpfers', 'klimahüpfern', 'klimahüpfer']"
klimaideologie,ideologie,"['ideologien', 'ideologie']",ideologie,f,"['klimaideologien', 'klimaideologie']"
klimaikone,ikone,"['ikone', 'ikonen']",ikone,f,"['klimaikone', 'klimaikonen']"
klimainsider,insider,"['insider', 'insiders', 'insidern']",insider,m,"['klimainsider', 'klimainsiders', 'klimainsidern']"
klimaintelligenz,intelligenz,"['intelligenzen', 'intelligenz']",intelligenz,f,"['klimaintelligenzen', 'klimaintelligenz']"
klimairrsinn,irrsinn,"['irrsinns', 'irrsinn', 'irrsinnes']",irrsinn,m,"['klimairrsinns', 'klimairrsinn', 'klimairrsinnes']"
klimajünger,jünger,"['jüngern', 'jüngers', 'jünger']",jünger,m,"['klimajüngern', 'klimajüngers', 'klimajünger']"
klimakabarett,kabarett,"['kabaretten', 'kabarett', 'kabarette', 'kabaretts']",kabarett,n,"['klimakabaretten', 'klimakabarett', 'klimakabarette', 'klimakabaretts']"
klimakaiserin,kaiserin,"['kaiserin', 'kaiserinnen']",kaiserin,f,"['klimakaiserin', 'klimakaiserinnen']"
klimakamarilla,kamarilla,"['kamarillen', 'kamarilla']",kamarilla,f,"['klimakamarillen', 'klimakamarilla']"
klimakampf,kampf,"['kämpfen', 'kampfes', 'kampfs', 'kampf', 'kämpfe', 'kampfe']",kampf,m,"['klimakämpfen', 'klimakampfes', 'klimakampfs', 'klimakampf', 'klimakämpfe', 'klimakampfe']"
klimakanzler,kanzler,"['kanzler', 'kanzlers', 'kanzlern']",kanzler,m,"['klimakanzler', 'klimakanzlers', 'klimakanzlern']"
klimakanzlerin,kanzlerin,"['kanzlerin', 'kanzlerinnen']",kanzlerin,f,"['klimakanzlerin', 'klimakanzlerinnen']"
klimakarawane,karawane,"['karawanen', 'karawane']",karawane,f,"['klimakarawanen', 'klimakarawane']"
klimakasteiung,kasteiung,"['kasteiung', 'kasteiungen']",kasteiung,f,"['klimakasteiung', 'klimakasteiungen']"
klimakataklysmus,kataklysmus,"['kataklysmen', 'kataklysmus']",kataklysmus,m,"['klimakataklysmen', 'klimakataklysmus']"
klimakatastrophentheorie,katastrophentheorie,"['katastrophentheorie', 'katastrophentheorien']",katastrophentheorie,f,"['klimakatastrophentheorie', 'klimakatastrophentheorien']"
klimakatechismus,katechismus,"['katechismen', 'katechismus']",katechismus,m,"['klimakatechismen', 'klimakatechismus']"
klimaketzer,ketzer,"['ketzers', 'ketzern', 'ketzer']",ketzer,m,"['klimaketzers', 'klimaketzern', 'klimaketzer']"
klimakirche,kirche,"['kirchen', 'kirche']",kirche,f,"['klimakirchen', 'klimakirche']"
klimaklamauk,klamauk,"['klamauks', 'klamauk']",klamauk,m,"['klimaklamauks', 'klimaklamauk']"
klimaklempner,klempner,"['klempners', 'klempner', 'klempnern']",klempner,m,"['klimaklempners', 'klimaklempner', 'klimaklempnern']"
klimakleriker,kleriker,"['klerikern', 'kleriker', 'klerikers']",kleriker,m,"['klimaklerikern', 'klimakleriker', 'klimaklerikers']"
klimakollekte,kollekte,"['kollekte', 'kollekten']",kollekte,f,"['klimakollekte', 'klimakollekten']"
klimakolonialismus,kolonialismus,['kolonialismus'],kolonialismus,m,['klimakolonialismus']
klimakommissar,kommissar,"['kommissar', 'kommissare', 'kommissars', 'kommissaren']",kommissar,m,"['klimakommissar', 'klimakommissare', 'klimakommissars', 'klimakommissaren']"
klimakompetenz,kompetenz,"['kompetenzen', 'kompetenz']",kompetenz,f,"['klimakompetenzen', 'klimakompetenz']"
klimakonfusion,konfusion,"['konfusionen', 'konfusion']",konfusion,f,"['klimakonfusionen', 'klimakonfusion']"
klimakonklave,konklave,"['konklaves', 'konklaven', 'konklave']",konklave,n,"['klimakonklaves', 'klimakonklaven', 'klimakonklave']"
klimakonsens,konsens,"['konsens', 'konsense', 'konsenses', 'konsensen']",konsens,m,"['klimakonsens', 'klimakonsense', 'klimakonsenses', 'klimakonsensen']"
klimakonsortium,konsortium,"['konsortien', 'konsortium', 'konsortiums']",konsortium,n,"['klimakonsortien', 'klimakonsortium', 'klimakonsortiums']"
klimakontrolle,kontrolle,"['kontrollen', 'kontrolle']",kontrolle,f,"['klimakontrollen', 'klimakontrolle']"
klimakontroverse,kontroverse,"['kontroversen', 'kontroverse']",kontroverse,f,"['klimakontroversen', 'klimakontroverse']"
klimakreationismus,kreationismus,['kreationismus'],kreationismus,m,['klimakreationismus']
klimakreuzzug,kreuzzug,"['kreuzzuges', 'kreuzzugs', 'kreuzzuge', 'kreuzzüge', 'kreuzzügen', 'kreuzzug']",kreuzzug,m,"['klimakreuzzuges', 'klimakreuzzugs', 'klimakreuzzuge', 'klimakreuzzüge', 'klimakreuzzügen', 'klimakreuzzug']"
klimakrieg,krieg,"['krieges', 'kriegen', 'kriegs', 'krieg', 'kriege']",krieg,m,"['klimakrieges', 'klimakriegen', 'klimakriegs', 'klimakrieg', 'klimakriege']"
klimakrieger,krieger,"['kriegern', 'krieger', 'kriegers']",krieger,m,"['klimakriegern', 'klimakrieger', 'klimakriegers']"
klimakritik,kritik,"['kritik', 'kritiken']",kritik,f,"['klimakritik', 'klimakritiken']"
klimakritiker,kritiker,"['kritikern', 'kritikers', 'kritiker']",kritiker,m,"['klimakritikern', 'klimakritikers', 'klimakritiker']"
klimakult,kult,"['kulten', 'kults', 'kult', 'kulte', 'kultes']",kult,m,"['klimakulten', 'klimakults', 'klimakult', 'klimakulte', 'klimakultes']"
klimakäse,käse,"['käses', 'käse', 'käsen']",käse,m,"['klimakäses', 'klimakäse', 'klimakäsen']"
klimakönigin,königin,"['königinnen', 'königin']",königin,f,"['klimaköniginnen', 'klimakönigin']"
klimalaie,laie,"['laie', 'laien']",laie,m,"['klimalaie', 'klimalaien']"
klimaleidenschaftlichkeit,leidenschaftlichkeit,"['leidenschaftlichkeiten', 'leidenschaftlichkeit']",leidenschaftlichkeit,f,"['klimaleidenschaftlichkeiten', 'klimaleidenschaftlichkeit']"
klimaleugner,leugner,"['leugners', 'leugner', 'leugnern']",leugner,m,"['klimaleugners', 'klimaleugner', 'klimaleugnern']"
klimaleugnung,leugnung,"['leugnungen', 'leugnung']",leugnung,f,"['klimaleugnungen', 'klimaleugnung']"
klimalobby,lobby,"['lobbys', 'lobby']",lobby,f,"['klimalobbys', 'klimalobby']"
klimalösegeld,lösegeld,"['lösegelder', 'lösegeldern', 'lösegeld', 'lösegelds', 'lösegeldes', 'lösegelde']",lösegeld,n,"['klimalösegelder', 'klimalösegeldern', 'klimalösegeld', 'klimalösegelds', 'klimalösegeldes', 'klimalösegelde']"
klimalüge,lüge,"['lüge', 'lügen']",lüge,f,"['klimalüge', 'klimalügen']"
klimalügner,lügner,"['lügner', 'lügners', 'lügnern']",lügner,m,"['klimalügner', 'klimalügners', 'klimalügnern']"
klimamacher,macher,"['macher', 'machern', 'machers']",macher,m,"['klimamacher', 'klimamachern', 'klimamachers']"
klimamafia,mafia,"['mafias', 'mafia']",mafia,f,"['klimamafias', 'klimamafia']"
klimamahnwache,mahnwache,"['mahnwache', 'mahnwachen']",mahnwache,f,"['klimamahnwache', 'klimamahnwachen']"
klimamanipulation,manipulation,"['manipulationen', 'manipulation']",manipulation,f,"['klimamanipulationen', 'klimamanipulation']"
klimamantra,mantra,"['mantren', 'mantra', 'mantras']",mantra,n,"['klimamantren', 'klimamantra', 'klimamantras']"
klimamilliardär,milliardär,"['milliardären', 'milliardäre', 'milliardär', 'milliardärs']",milliardär,m,"['klimamilliardären', 'klimamilliardäre', 'klimamilliardär', 'klimamilliardärs']"
klimamisere,misere,"['miseren', 'misere']",misere,f,"['klimamiseren', 'klimamisere']"
klimamonster,monster,"['monstern', 'monsters', 'monster']",monster,n,"['klimamonstern', 'klimamonsters', 'klimamonster']"
klimamutti,mutti,"['mutti', 'muttis']",mutti,f,"['klimamutti', 'klimamuttis']"
klimamärchenonkel,märchenonkel,"['märchenonkel', 'märchenonkels', 'märchenonkeln']",märchenonkel,m,"['klimamärchenonkel', 'klimamärchenonkels', 'klimamärchenonkeln']"
klimanationalismus,nationalismus,"['nationalismen', 'nationalismus']",nationalismus,m,"['klimanationalismen', 'klimanationalismus']"
klimanonsens,nonsens,"['nonsens', 'nonsenses']",nonsens,m,"['klimanonsens', 'klimanonsenses']"
klimanotfall,notfall,"['notfällen', 'notfalles', 'notfälle', 'notfalls', 'notfall', 'notfalle']",notfall,m,"['klimanotfällen', 'klimanotfalles', 'klimanotfälle', 'klimanotfalls', 'klimanotfall', 'klimanotfalle']"
klimanotlage,notlage,"['notlagen', 'notlage']",notlage,f,"['klimanotlagen', 'klimanotlage']"
klimanotstandsregierung,notstandsregierung,"['notstandsregierung', 'notstandsregierungen']",notstandsregierung,f,"['klimanotstandsregierung', 'klimanotstandsregierungen']"
klimaorthodoxie,orthodoxie,['orthodoxie'],orthodoxie,f,['klimaorthodoxie']
klimapanik,panik,"['panik', 'paniken']",panik,f,"['klimapanik', 'klimapaniken']"
klimapanikmache,panikmache,['panikmache'],panikmache,f,['klimapanikmache']
klimapapst,papst,"['papstes', 'papste', 'päpsten', 'papsts', 'päpste', 'papst']",papst,m,"['klimapapstes', 'klimapapste', 'klimapäpsten', 'klimapapsts', 'klimapäpste', 'klimapapst']"
klimaparadies,paradies,"['paradiesen', 'paradieses', 'paradies', 'paradiese']",paradies,n,"['klimaparadiesen', 'klimaparadieses', 'klimaparadies', 'klimaparadiese']"
klimapflicht,pflicht,"['pflichten', 'pflicht']",pflicht,f,"['klimapflichten', 'klimapflicht']"
klimaplanwirtschaft,planwirtschaft,"['planwirtschaften', 'planwirtschaft']",planwirtschaft,f,"['klimaplanwirtschaften', 'klimaplanwirtschaft']"
klimapolemik,polemik,"['polemik', 'polemiken']",polemik,f,"['klimapolemik', 'klimapolemiken']"
klimapopulismus,populismus,['populismus'],populismus,m,['klimapopulismus']
klimaprediger,prediger,"['predigern', 'predigers', 'prediger']",prediger,m,"['klimapredigern', 'klimapredigers', 'klimaprediger']"
klimapresse,presse,"['presse', 'pressen']",presse,f,"['klimapresse', 'klimapressen']"
klimaprofessor,professor,"['professor', 'professoren', 'professors']",professor,m,"['klimaprofessor', 'klimaprofessoren', 'klimaprofessors']"
klimaprofiteur,profiteur,"['profiteur', 'profiteuren', 'profiteure', 'profiteurs']",profiteur,m,"['klimaprofiteur', 'klimaprofiteuren', 'klimaprofiteure', 'klimaprofiteurs']"
klimapropaganda,propaganda,['propaganda'],propaganda,f,['klimapropaganda']
klimapropagandafilm,propagandafilm,"['propagandafilmes', 'propagandafilme', 'propagandafilm', 'propagandafilmen', 'propagandafilms']",propagandafilm,m,"['klimapropagandafilmes', 'klimapropagandafilme', 'klimapropagandafilm', 'klimapropagandafilmen', 'klimapropagandafilms']"
klimapropagandist,propagandist,"['propagandist', 'propagandisten']",propagandist,m,"['klimapropagandist', 'klimapropagandisten']"
klimaprotestler,protestler,"['protestlern', 'protestlers', 'protestler']",protestler,m,"['klimaprotestlern', 'klimaprotestlers', 'klimaprotestler']"
klimapseudowissenschaft,pseudowissenschaft,"['pseudowissenschaft', 'pseudowissenschaften']",pseudowissenschaft,f,"['klimapseudowissenschaft', 'klimapseudowissenschaften']"
klimapäckchen,päckchen,"['päckchens', 'päckchen']",päckchen,n,"['klimapäckchens', 'klimapäckchen']"
klimapäpstin,päpstin,"['päpstin', 'päpstinnen']",päpstin,f,"['klimapäpstin', 'klimapäpstinnen']"
klimaquatsch,quatsch,"['quatsch', 'quatschs', 'quatsche', 'quatsches']",quatsch,m,"['klimaquatsch', 'klimaquatschs', 'klimaquatsche', 'klimaquatsches']"
klimarealismus,realismus,"['realismus', 'realismen']",realismus,m,"['klimarealismus', 'klimarealismen']"
klimarealist,realist,"['realist', 'realisten']",realist,m,"['klimarealist', 'klimarealisten']"
klimareligion,religion,"['religion', 'religionen']",religion,f,"['klimareligion', 'klimareligionen']"
klimaretter,retter,"['rettern', 'retter', 'retters']",retter,m,"['klimarettern', 'klimaretter', 'klimaretters']"
klimaretterin,retterin,"['retterin', 'retterinnen']",retterin,f,"['klimaretterin', 'klimaretterinnen']"
klimarettung,rettung,"['rettung', 'rettungen']",rettung,f,"['klimarettung', 'klimarettungen']"
klimascharade,scharade,"['scharaden', 'scharade']",scharade,f,"['klimascharaden', 'klimascharade']"
klimaschiff,schiff,"['schiffes', 'schiffe', 'schiff', 'schiffen', 'schiffs']",schiff,n,"['klimaschiffes', 'klimaschiffe', 'klimaschiff', 'klimaschiffen', 'klimaschiffs']"
klimaschmerz,schmerz,"['schmerz', 'schmerze', 'schmerzes', 'schmerzen']",schmerz,m,"['klimaschmerz', 'klimaschmerze', 'klimaschmerzes', 'klimaschmerzen']"
klimaschrecken,schrecken,"['schrecken', 'schreckens']",schrecken,m,"['klimaschrecken', 'klimaschreckens']"
klimaschuld,schuld,"['schulden', 'schuld']",schuld,f,"['klimaschulden', 'klimaschuld']"
klimaschwachsinn,schwachsinn,"['schwachsinns', 'schwachsinnes', 'schwachsinne', 'schwachsinn']",schwachsinn,m,"['klimaschwachsinns', 'klimaschwachsinnes', 'klimaschwachsinne', 'klimaschwachsinn']"
klimaschwindel,schwindel,"['schwindel', 'schwindels']",schwindel,m,"['klimaschwindel', 'klimaschwindels']"
klimaschwindler,schwindler,"['schwindler', 'schwindlern', 'schwindlers']",schwindler,m,"['klimaschwindler', 'klimaschwindlern', 'klimaschwindlers']"
klimaschänder,schänder,"['schändern', 'schänders', 'schänder']",schänder,m,"['klimaschändern', 'klimaschänders', 'klimaschänder']"
klimaschändung,schändung,"['schändung', 'schändungen']",schändung,f,"['klimaschändung', 'klimaschändungen']"
klimasekte,sekte,"['sekte', 'sekten']",sekte,f,"['klimasekte', 'klimasekten']"
klimasektierer,sektierer,"['sektierers', 'sektierern', 'sektierer']",sektierer,m,"['klimasektierers', 'klimasektierern', 'klimasektierer']"
klimashow,show,"['show', 'shows']",show,f,"['klimashow', 'klimashows']"
klimaskepsis,skepsis,['skepsis'],skepsis,f,['klimaskepsis']
klimaskeptiker,skeptiker,"['skeptiker', 'skeptikern', 'skeptikers']",skeptiker,m,"['klimaskeptiker', 'klimaskeptikern', 'klimaskeptikers']"
klimaskeptikerin,skeptikerin,"['skeptikerin', 'skeptikerinnen']",skeptikerin,f,"['klimaskeptikerin', 'klimaskeptikerinnen']"
klimaskeptizismus,skeptizismus,['skeptizismus'],skeptizismus,m,['klimaskeptizismus']
klimasozialismus,sozialismus,"['sozialismen', 'sozialismus']",sozialismus,m,"['klimasozialismen', 'klimasozialismus']"
klimaspinner,spinner,"['spinners', 'spinnern', 'spinner']",spinner,m,"['klimaspinners', 'klimaspinnern', 'klimaspinner']"
klimastaat,staat,"['staates', 'stäten', 'stäte', 'staat', 'staate', 'staaten', 'staats']",staat,m,"['klimastaates', 'klimastäten', 'klimastäte', 'klimastaat', 'klimastaate', 'klimastaaten', 'klimastaats']"
klimastopp,stopp,"['stopp', 'stopps']",stopp,m,"['klimastopp', 'klimastopps']"
klimastreit,streit,"['streites', 'streit', 'streits', 'streiten', 'streite']",streit,m,"['klimastreites', 'klimastreit', 'klimastreits', 'klimastreiten', 'klimastreite']"
klimastreiter,streiter,"['streiter', 'streiters', 'streitern']",streiter,m,"['klimastreiter', 'klimastreiters', 'klimastreitern']"
klimataliban,taliban,"['talibans', 'taliban']",taliban,m,"['klimatalibans', 'klimataliban']"
klimateppich,teppich,"['teppichs', 'teppiche', 'teppich', 'teppichen']",teppich,m,"['klimateppichs', 'klimateppiche', 'klimateppich', 'klimateppichen']"
klimateufel,teufel,"['teufeln', 'teufels', 'teufel']",teufel,m,"['klimateufeln', 'klimateufels', 'klimateufel']"
klimatheater,theater,"['theatern', 'theaters', 'theater']",theater,n,"['klimatheatern', 'klimatheaters', 'klimatheater']"
klimatheologie,theologie,"['theologie', 'theologien']",theologie,f,"['klimatheologie', 'klimatheologien']"
